node_1,node_2,weight
2d videos,agent,
2d videos,colour,
2d videos,features,
2d videos,frames,
2d videos,graphs,
2d videos,model,
2d videos,position,
2d videos,transformer,
2d videos,type,
2d videos,baby intuitions benchmark,
a. bulling,irene,
a. bulling,m. bortoletto,
abductive commonsense reasoning,learning representations,
ablation studies,irene,
ablation studies,relational graphs,
actions,agent,
actions,context embedding,
actions,context encoder,
actions,ctx token,
actions,embedding vector,
actions,encoded states,
actions,grid-world environment,
actions,irene,
actions,objects,
actions,state encoder,
actions,sub-tasks,
actions,tasks,
actions,trials,
adjacent and aligned,agent's past trajectories,
adjacent and aligned,context encoder,
adjacent and aligned,feature fusion module,
adjacent and aligned,gnn,
adjacent and aligned,local directional relations,
adjacent and aligned,node embeddings,
adjacent and aligned,node features,
adjacent and aligned,prediction net,
adjacent and aligned,remote directional relations,
adjacent and aligned,"type, position, color, shape",
agent,architecture,
agent,baby intuitions benchmark,
agent,bayesian theory of mind,
agent,bib,
agent,bipack,
agent,colour,
agent,common-sense reasoning tasks,
agent,context embedding,
agent,context embeddings,
agent,context encoder,
agent,core psychological reasoning,
agent,ctx token,
agent,edges,
agent,efficient action,
agent,encoded states,
agent,evaluation,
agent,feature fusion module,
agent,features,
agent,frames,
agent,gandhi et al. 2021,
agent,gnn,
agent,graph,
agent,graphs,
agent,grid-world environment,
agent,ground truth,
agent,hbtom,
agent,instrumental action,
agent,irene,
agent,lack of accessible and well-maintained benchmarks,
agent,message passing,
agent,model,
agent,"normalised between [-1, 1]",
agent,"normalised between [0, 1]",
agent,objects,
agent,one-hot vectors,
agent,position,
agent,shape,
agent,spatial relations,
agent,state encoder,
agent,states,
agent,sub-tasks,
agent,tasks,
agent,training and evaluation on the baby intuitions benchmark,
agent,trajectories,
agent,transformer,
agent,transformer context encoder,
agent,trials,
agent,type,
agent,violation of expectation paradigm,
agent,weights,
agent and world state encoding,irene,
agent and world state encoding,rational agents,
agent and world state encoding,training tasks,
agent and world state encoding,graphsage,
agent tests,benchmarks,
agent tests,bib,
agent tests,research,
agent's past trajectories,context encoder,
agent's past trajectories,local directional relations,
agent's past trajectories,node features,
agent's past trajectories,remote directional relations,
agent-blocked instrumental action,evaluation trials,
agent-blocked instrumental action,frame,
agent-blocked instrumental action,graph generation,
agent-blocked instrumental action,instrumental blocking barrier,
agent-blocked instrumental action,json file,
agent-blocked instrumental action,navigation preference,
agent-blocked instrumental action,single-object multiple-agent,
agent-blocked instrumental action,training trials,
agents,existing models,
agents,graph neural network (gnn),
agents,intuitive reasoning network (irene),
agents,irene,
agents,model,
agents,reasoning tasks,
agents,transformer,
agents,video transformer,
agents,vt,
agents’ goals,irene,
agents’ preferences,existing models,
agents’ preferences,graph neural network (gnn),
agents’ preferences,intuitive reasoning network (irene),
agents’ preferences,irene,
agents’ preferences,model,
agents’ preferences,reasoning tasks,
agents’ preferences,video transformer,
agents’ preferences,vt,
ai agents,ai systems,
ai agents,benchmarks,
ai agents,developmental disorders,
ai agents,human-machine collaboration,
ai agents,humans,
ai agents,infants,
ai agents,machine common-sense reasoning,
ai agents,research,
ai agents,robotics,
ai capabilities,baby intuitions benchmark (bib),
ai capabilities,test trials,
ai capabilities,voe paradigm,
ai systems,benchmarks,
ann-sophia,denisov,
ann-sophia,ekta sood,
ann-sophia,hsiu-yu yang,
ann-sophia,manuel mager,
architecture,encoded states,
architecture,grid-world environment,
architecture,objects,
architecture,state encoder,
architecture,sub-tasks,
architecture,tasks,
architecture,trials,
architecture,irene,
attention heads,feature fusion module,
attention heads,gandhi et al.,
attention heads,irene,
attention heads,mlp policy,
attention heads,prediction net,
attention heads,results,
attention heads,state encoder,
attention heads,transformer encoder,
attention is all you need,"advances in neural information processing systems, 30",
baby intuitions benchmark,colour,
baby intuitions benchmark,features,
baby intuitions benchmark,frames,
baby intuitions benchmark,graphs,
baby intuitions benchmark,intuitive reasoning network (irene),
baby intuitions benchmark,irene,
baby intuitions benchmark,model,
baby intuitions benchmark,position,
baby intuitions benchmark,transformer,
baby intuitions benchmark,type,
baby intuitions benchmark (bib),"discerning the goals, preferences, and actions of others",
baby intuitions benchmark (bib),gandhi et al.,
baby intuitions benchmark (bib),initial models,
baby intuitions benchmark (bib),machine theory of mind network,
baby intuitions benchmark (bib),meta-learning problem,
baby intuitions benchmark (bib),models’ ability to predict future actions,
baby intuitions benchmark (bib),"most recent model (hein and diepold 2022, vt)",
baby intuitions benchmark (bib),observer model,
baby intuitions benchmark (bib),test trials,
baby intuitions benchmark (bib),training and evaluation tasks,
baby intuitions benchmark (bib),video,
baby intuitions benchmark (bib),voe paradigm,
bail-largeon 1987,common-sense reasoning,
bail-largeon 1987,expected events or situations,
bail-largeon 1987,gandhi et al.,
bail-largeon 1987,intuitive physics,
bail-largeon 1987,intuitive psychology,
bail-largeon 1987,piloto et al.,
bail-largeon 1987,riochet et al.,
bail-largeon 1987,shu et al.,
bail-largeon 1987,violation of expectation paradigm,
bayesian theory of mind,bib,
bayesian theory of mind,bipack,
bayesian theory of mind,hbtom,
bc-mlp,feature fusion module,
bc-mlp,gandhi et al.,
bc-mlp,irene,
bc-mlp,mlp policy,
bc-mlp,prediction net,
