head,relation,tail
11b799b793c20524d59dfd0a0f81fda9,published_in,AAAI
11b799b793c20524d59dfd0a0f81fda9,has_keyword,creativity
11b799b793c20524d59dfd0a0f81fda9,has_keyword,creativityin
11b799b793c20524d59dfd0a0f81fda9,has_keyword,creativityall
11b799b793c20524d59dfd0a0f81fda9,has_keyword,creativecharacteristicsritchie
11b799b793c20524d59dfd0a0f81fda9,has_keyword,compositions
5794b9c700b0e43179ecedf8ba7f5508,published_in,AAAI
5794b9c700b0e43179ecedf8ba7f5508,has_keyword,inferences
5794b9c700b0e43179ecedf8ba7f5508,has_keyword,inference
5794b9c700b0e43179ecedf8ba7f5508,has_keyword,agent
5794b9c700b0e43179ecedf8ba7f5508,has_keyword,bluffing
5794b9c700b0e43179ecedf8ba7f5508,has_keyword,ai
0abd5fca9cd32563e5ae7e7495edcfb9,published_in,AAAI
0abd5fca9cd32563e5ae7e7495edcfb9,has_keyword,photoplethysmographytriplets
0abd5fca9cd32563e5ae7e7495edcfb9,has_keyword,vitals
0abd5fca9cd32563e5ae7e7495edcfb9,has_keyword,fusion
0abd5fca9cd32563e5ae7e7495edcfb9,has_keyword,webcam
0abd5fca9cd32563e5ae7e7495edcfb9,has_keyword,sensing
a3a37e4f971ea305d5c919b21de37684,published_in,AAAI
a3a37e4f971ea305d5c919b21de37684,has_keyword,text2video
a3a37e4f971ea305d5c919b21de37684,has_keyword,videos
a3a37e4f971ea305d5c919b21de37684,has_keyword,controlvideo
a3a37e4f971ea305d5c919b21de37684,has_keyword,flow
a3a37e4f971ea305d5c919b21de37684,has_keyword,vvideo
1587d1cd52c5552aa33bc9eef36fa7d1,published_in,AAAI
1587d1cd52c5552aa33bc9eef36fa7d1,has_keyword,gans
1587d1cd52c5552aa33bc9eef36fa7d1,has_keyword,generative
1587d1cd52c5552aa33bc9eef36fa7d1,has_keyword,gan
1587d1cd52c5552aa33bc9eef36fa7d1,has_keyword,genera
1587d1cd52c5552aa33bc9eef36fa7d1,has_keyword,adversarial
0fdf763fd328aaf8ab7759fcea494f14,published_in,AAAI
0fdf763fd328aaf8ab7759fcea494f14,has_keyword,lut3d
0fdf763fd328aaf8ab7759fcea494f14,has_keyword,3d
0fdf763fd328aaf8ab7759fcea494f14,has_keyword,cameranet
0fdf763fd328aaf8ab7759fcea494f14,has_keyword,a3d
0fdf763fd328aaf8ab7759fcea494f14,has_keyword,rgb
0435a982afdcf944fae1282161b0dc57,published_in,AAAI
0435a982afdcf944fae1282161b0dc57,has_keyword,learning
0435a982afdcf944fae1282161b0dc57,has_keyword,learns
0435a982afdcf944fae1282161b0dc57,has_keyword,classification
0435a982afdcf944fae1282161b0dc57,has_keyword,recognition
0435a982afdcf944fae1282161b0dc57,has_keyword,recognitioncong
f5cdb6252ee6660e6e6f55c540b1da17,published_in,AAAI
f5cdb6252ee6660e6e6f55c540b1da17,has_keyword,colors
f5cdb6252ee6660e6e6f55c540b1da17,has_keyword,wavelengths
f5cdb6252ee6660e6e6f55c540b1da17,has_keyword,color
f5cdb6252ee6660e6e6f55c540b1da17,has_keyword,underwater
f5cdb6252ee6660e6e6f55c540b1da17,has_keyword,blue
0c01a6f2a0db228cbc9a2576e65c253f,published_in,AAAI
0c01a6f2a0db228cbc9a2576e65c253f,has_keyword,hdr
0c01a6f2a0db228cbc9a2576e65c253f,has_keyword,imaging
0c01a6f2a0db228cbc9a2576e65c253f,has_keyword,colorization
0c01a6f2a0db228cbc9a2576e65c253f,has_keyword,exposure
0c01a6f2a0db228cbc9a2576e65c253f,has_keyword,rgbg
87ff2f2dc2c1f3b2d291033e6b8726d6,published_in,AAAI
87ff2f2dc2c1f3b2d291033e6b8726d6,has_keyword,reassembling
87ff2f2dc2c1f3b2d291033e6b8726d6,has_keyword,assembling
87ff2f2dc2c1f3b2d291033e6b8726d6,has_keyword,fragments
